cluster,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
0,586,TRANSFER,10000000.0,C1979114980,30353874.22,20353874.22,C617558864,0.0,0.0,1,0
1,387,TRANSFER,4892193.09,C908544136,4892193.09,4892193.09,C891140444,0.0,0.0,1,1
2,533,CASH_OUT,495977.84,C813165216,495977.84,0.0,C65111466,236230516.82,236726494.66,1,0
3,558,TRANSFER,316877.85,C350145239,316877.85,0.0,C1384673123,0.0,0.0,1,0
4,631,CASH_OUT,10000000.0,C256835090,10000000.0,0.0,C1369253515,1852708.45,11852708.45,1,0
5,526,CASH_OUT,606920.11,C998785780,606920.11,0.0,C2120671448,16606636.44,17213556.55,1,0
6,602,CASH_OUT,232185.56,C537992221,232185.56,0.0,C363703027,6053983.22,6286168.78,1,0
7,651,TRANSFER,9996886.64,C429282035,9996886.64,0.0,C1318460385,0.0,0.0,1,0
8,296,TRANSFER,10000000.0,C1734365365,15591414.49,5591414.49,C1564795146,0.0,0.0,1,0
9,595,CASH_OUT,553124.56,C1914819336,553124.56,0.0,C1718348332,1939614.63,2492739.18,1,0
10,449,CASH_OUT,133632.24,C782460784,133632.24,0.0,C260277833,71836828.02,71970460.27,1,0
11,406,CASH_OUT,4160888.06,C1407865578,4160888.06,0.0,C94243065,367689.67,4528577.73,1,0
12,425,TRANSFER,10000000.0,C1551381510,49585040.37,39585040.37,C1042012237,0.0,0.0,1,0
13,61,TRANSFER,1735466.52,C182416415,1735466.52,0.0,C180492809,0.0,0.0,1,0
14,36,CASH_OUT,1684039.12,C168686866,1684039.12,0.0,C803116137,32961658.25,34645697.37,1,0
