step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
489,TRANSFER,1189986.88,C1481892464,1189986.88,0.0,C1868266376,0.0,0.0,1,0
146,TRANSFER,60516.53,C204723850,60516.53,0.0,C776823334,0.0,0.0,1,0
71,CASH_OUT,62091.44,C979329781,62091.44,0.0,C1938348365,6296058.91,6358150.35,1,0
668,TRANSFER,307455.42,C103081762,307455.42,0.0,C132241183,0.0,0.0,1,0
328,CASH_OUT,337810.17,C206355745,337810.17,0.0,C1521769124,2016352.07,2354162.24,1,0
144,TRANSFER,325732.34,C1544110174,325732.34,0.0,C2112676621,0.0,0.0,1,0
254,CASH_OUT,653949.74,C1985193615,653949.74,0.0,C967226405,1404475.93,2058425.67,1,0
623,CASH_OUT,58050.78,C1057925060,58050.78,0.0,C151767337,0.0,58050.78,1,0
641,CASH_OUT,2938833.22,C821430696,2938833.22,0.0,C187106136,0.0,2938833.22,1,0
238,CASH_OUT,10000000.0,C1723333662,10000000.0,0.0,C1093911640,261802.02,10261802.02,1,0
152,CASH_OUT,102945.99,C1847949987,102945.99,0.0,C1663207814,2276404.45,2379350.44,1,0
198,CASH_OUT,7197532.27,C1876397453,7197532.27,0.0,C399465917,123909.1,7321441.37,1,0
150,TRANSFER,1335959.76,C1644591810,1335959.76,0.0,C2090168733,0.0,0.0,1,0
720,TRANSFER,561027.94,C1493011618,561027.94,0.0,C1620712399,0.0,0.0,1,0
157,TRANSFER,1946687.34,C1522688362,1946687.34,0.0,C1520186695,0.0,0.0,1,0
